link,hotel,price
https://www.booking.com/hotel/es/barcelo-atenea-mar.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=9250911_158190359_2_2_0_624781&highlighted_blocks=9250911_158190359_2_2_0_624781&matching_block_id=9250911_158190359_2_2_0_624781&sr_pri_blocks=9250911_158190359_2_2_0_624781_177778&from_sustainable_property_sr=1&from=searchresults,Occidental Atenea Mar - Adults Only,"€ 1,778"
https://www.booking.com/hotel/es/san-agustin.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=9750237_327751550_2_2_0&highlighted_blocks=9750237_327751550_2_2_0&matching_block_id=9750237_327751550_2_2_0&sr_pri_blocks=9750237_327751550_2_2_0__160200&from=searchresults,Hotel Sant Agustí,"€ 1,602"
https://www.booking.com/hotel/es/occidental-diagonal-414-barcelona.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=593835601_232868873_2_2_0&highlighted_blocks=593835601_232868873_2_2_0&matching_block_id=593835601_232868873_2_2_0&sr_pri_blocks=593835601_232868873_2_2_0__163128&from=searchresults,Occidental Diagonal 414,"€ 1,631"
https://www.booking.com/hotel/es/rentbcn-paseo-de-gracia-apartments.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=1355132404_407832785_2_0_0&highlighted_blocks=1355132404_407832785_2_0_0&matching_block_id=1355132404_407832785_2_0_0&sr_pri_blocks=1355132404_407832785_2_0_0__135932&from=searchresults,rentBCN Paseo de Gracia Apartments,"€ 1,359"
https://www.booking.com/hotel/es/pension-45.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=1240802_190208126_0_0_0&highlighted_blocks=1240802_190208126_0_0_0&matching_block_id=1240802_190208126_0_0_0&sr_pri_blocks=1240802_190208126_0_0_0__84400&from=searchresults,Pensión 45,€ 844
https://www.booking.com/hotel/es/the-social-hub-barcelona-poblenou-extended-stay.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=1423900201_414018825_0_2_0_1114202&highlighted_blocks=1423900201_414018825_0_2_0_1114202&matching_block_id=1423900201_414018825_0_2_0_1114202&sr_pri_blocks=1423900201_414018825_0_2_0_1114202_120578&from=searchresults,The Social Hub Barcelona Poblenou Extended Stay,"€ 1,206"
https://www.booking.com/hotel/es/crambarcelona.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=9122620_389642147_2_2_0&highlighted_blocks=9122620_389642147_2_2_0&matching_block_id=9122620_389642147_2_2_0&sr_pri_blocks=9122620_389642147_2_2_0__192078&from=searchresults,Cram Hotel,"€ 1,921"
https://www.booking.com/hotel/es/hostal-opera.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=1947005_95144225_0_0_0&highlighted_blocks=1947005_95144225_0_0_0&matching_block_id=1947005_95144225_0_0_0&sr_pri_blocks=1947005_95144225_0_0_0__120573&from=searchresults,Hostal Operaramblas,"€ 1,206"
https://www.booking.com/hotel/es/spa-villa-olimpic-suites.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=4221208_94259354_0_34_0_540293&highlighted_blocks=4221208_94259354_0_34_0_540293&matching_block_id=4221208_94259354_0_34_0_540293&sr_pri_blocks=4221208_94259354_0_34_0_540293_131088&from=searchresults,Hotel & Spa Villa Olimpica Suites,"€ 1,311"
https://www.booking.com/hotel/es/amra-barcelona-gran-via.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=113788905_237907240_3_0_0&highlighted_blocks=113788905_237907240_3_0_0&matching_block_id=113788905_237907240_3_0_0&sr_pri_blocks=113788905_237907240_3_0_0__157814&from=searchresults,Amra Barcelona Gran Via,"€ 1,578"
